City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,libreville,0.3925,9.4537,28.01,69,40,3.6,GA,1689868326
181,tsiombe,-25.3,45.4833,19.59,82,4,3.37,MG,1689868071
182,natal,-5.795,-35.2094,29.36,54,40,10.29,BR,1689868326
183,balikpapan,-1.2675,116.8289,24.55,100,75,2.06,ID,1689868326
184,puerto deseado,-47.7503,-65.8938,9.14,70,100,7.06,AR,1689868327
185,egilsstadir,65.2653,-14.3948,10.95,71,0,7.2,IS,1689868327
186,la sarre,48.8002,-79.1996,22.32,51,95,2.06,CA,1689868327
187,papao,-17.75,-149.55,23.82,66,34,7.6,PF,1689868327
188,edna,28.9786,-96.6461,33.39,71,9,3.94,US,1689868327
189,polyarnyy,69.1989,33.4478,10.82,85,100,9.11,RU,1689868327
190,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,3.0,RU,1689868085
191,east london,-33.0153,27.9116,12.52,66,75,2.06,ZA,1689868252
192,sitka,57.0531,-135.33,12.94,82,40,0.0,US,1689868254
193,badger,64.8,-147.5333,16.95,94,100,2.06,US,1689868055
194,kingston,17.997,-76.7936,31.8,65,40,8.75,JM,1689868111
195,guatrache,-37.6678,-63.5302,13.41,43,24,8.65,AR,1689868328
196,mezhdurechensk,53.6942,88.0603,18.08,99,100,1.56,RU,1689868329
197,sulak,43.2734,47.5146,25.0,69,0,4.03,RU,1689868329
198,tura,25.5198,90.2201,25.3,93,99,1.98,IN,1689868329
199,hasaki,35.7333,140.8333,25.73,90,0,4.78,JP,1689868329
200,isla del bosque,22.7333,-105.85,31.32,64,16,0.86,MX,1689868329
201,tralee,52.2704,-9.7026,16.14,67,40,3.09,IE,1689868330
202,fale old settlement,-9.3852,-171.2468,28.3,77,27,5.72,TK,1689868330
203,acapulco de juarez,16.8634,-99.8901,29.9,70,75,1.03,MX,1689868235
204,lebu,-37.6167,-73.65,12.82,94,100,11.16,CL,1689868330
205,heilbron,-27.2812,27.9709,8.81,68,79,8.95,ZA,1689868330
206,tromso,69.6496,18.957,14.01,72,0,8.23,NO,1689868330
207,belokurikha,51.9959,84.9896,17.46,93,27,1.61,RU,1689868331
